component: surf_slab---------------------------
idx, charge change, element
0, [-0.824891, 'Li']
1, [-0.09213300000000002, 'Li']
2, [-0.06238199999999994, 'Li']
3, [-0.33923700000000023, 'Li']
4, [0.5325430000000004, 'Li']
5, [0.1921230000000005, 'Li']
6, [1.6155989999999996, 'Li']
7, [0.6700379999999999, 'Li']
8, [-1.616809, 'Li']
9, [-0.0011609999999997456, 'Li']
10, [-0.003239000000000214, 'Li']
11, [-0.00016300000000013526, 'Li']
12, [-0.0016400000000000858, 'Li']
13, [-0.0020660000000001233, 'Li']
14, [-0.0007239999999999469, 'Li']
15, [-0.0031930000000000014, 'Li']
16, [-0.003242000000000189, 'Li']
17, [-0.001606999999999914, 'Li']
18, [-0.001611000000000029, 'Li']
19, [0.0009809999999998986, 'Li']
20, [-0.0031609999999999694, 'Li']
21, [-0.0005810000000003868, 'Li']
22, [-0.0013870000000002491, 'Li']
23, [0.006899999999999906, 'Li']
24, [1.383477, 'Li']
25, [0.0019619999999997972, 'Li']
26, [-0.0030640000000001777, 'Li']
27, [-1.4701970000000002, 'Li']
28, [-1.461319, 'Li']
29, [0.3837570000000001, 'Li']
30, [0.39138899999999976, 'Li']
31, [0.18871599999999988, 'Li']
32, [-0.750448, 'Li']
33, [-0.9923039999999999, 'Li']
34, [2.323368, 'Li']
35, [-0.5847440000000002, 'Li']
component: mol---------------------------
idx, charge change, element
36, [0.04364200000000018, 'O']
37, [0.0722870000000011, 'O']
38, [0.27245000000000097, 'O']
39, [0.06271800000000027, 'C']
40, [0.09071699999999971, 'C']
41, [-0.05190600000000023, 'C']
42, [0.02313900000000002, 'H']
43, [-0.06260399999999999, 'H']
44, [-0.056486999999999954, 'H']
45, [0.047694000000000014, 'H']
component: salt---------------------------
idx, charge change, element
46, [0.023341000000000278, 'F']
47, [0.0015479999999996608, 'F']
48, [0.0005790000000001072, 'F']
49, [0.009679000000000215, 'F']
50, [0.00819800000000015, 'F']
51, [0.009149999999999991, 'F']
52, [0.012625999999999138, 'P']
53, [0.0483819999999997, 'Li']
